lat,lon,APCP_2021,xy,time
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-01
40.270832,140.01875,0.9943396,"40.270832,140.01875",2021-01-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-03
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-04
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-06
40.270832,140.01875,18.504148,"40.270832,140.01875",2021-01-07
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-08
40.270832,140.01875,1.1926789,"40.270832,140.01875",2021-01-09
40.270832,140.01875,1.2956365,"40.270832,140.01875",2021-01-10
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-11
40.270832,140.01875,5.2408977,"40.270832,140.01875",2021-01-12
40.270832,140.01875,5.586378,"40.270832,140.01875",2021-01-13
40.270832,140.01875,5.28656,"40.270832,140.01875",2021-01-14
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-15
40.270832,140.01875,4.7468452,"40.270832,140.01875",2021-01-16
40.270832,140.01875,0.7419244,"40.270832,140.01875",2021-01-17
40.270832,140.01875,2.2228475,"40.270832,140.01875",2021-01-18
40.270832,140.01875,4.393959,"40.270832,140.01875",2021-01-19
40.270832,140.01875,2.1021407,"40.270832,140.01875",2021-01-20
40.270832,140.01875,5.155232,"40.270832,140.01875",2021-01-21
40.270832,140.01875,13.109674,"40.270832,140.01875",2021-01-22
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-23
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-24
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-25
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-26
40.270832,140.01875,8.027232,"40.270832,140.01875",2021-01-27
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-28
40.270832,140.01875,7.782262,"40.270832,140.01875",2021-01-29
40.270832,140.01875,1.001772,"40.270832,140.01875",2021-01-30
40.270832,140.01875,0.0,"40.270832,140.01875",2021-01-31
40.270832,140.01875,7.8014965,"40.270832,140.01875",2021-02-01
40.270832,140.01875,1.996181,"40.270832,140.01875",2021-02-02
40.270832,140.01875,1.1289088,"40.270832,140.01875",2021-02-03
40.270832,140.01875,2.0541165,"40.270832,140.01875",2021-02-04
40.270832,140.01875,1.6256207,"40.270832,140.01875",2021-02-05
40.270832,140.01875,3.8935993,"40.270832,140.01875",2021-02-06
40.270832,140.01875,1.4758965,"40.270832,140.01875",2021-02-07
40.270832,140.01875,2.081938,"40.270832,140.01875",2021-02-08
40.270832,140.01875,1.8317081,"40.270832,140.01875",2021-02-09
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-10
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-11
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-12
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-13
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-14
40.270832,140.01875,22.549255,"40.270832,140.01875",2021-02-15
40.270832,140.01875,1.1807606,"40.270832,140.01875",2021-02-16
40.270832,140.01875,1.762958,"40.270832,140.01875",2021-02-17
40.270832,140.01875,6.243905,"40.270832,140.01875",2021-02-18
40.270832,140.01875,0.53585887,"40.270832,140.01875",2021-02-19
40.270832,140.01875,6.381634,"40.270832,140.01875",2021-02-20
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-21
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-22
40.270832,140.01875,1.9018226,"40.270832,140.01875",2021-02-23
40.270832,140.01875,1.936932,"40.270832,140.01875",2021-02-24
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-25
40.270832,140.01875,2.1002426,"40.270832,140.01875",2021-02-26
40.270832,140.01875,2.1240132,"40.270832,140.01875",2021-02-27
40.270832,140.01875,0.0,"40.270832,140.01875",2021-02-28
40.270832,140.01875,2.4741573,"40.270832,140.01875",2021-03-01
40.270832,140.01875,13.618302,"40.270832,140.01875",2021-03-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-03
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-04
40.270832,140.01875,0.776327,"40.270832,140.01875",2021-03-05
40.270832,140.01875,5.4467144,"40.270832,140.01875",2021-03-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-07
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-08
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-09
40.270832,140.01875,2.017249,"40.270832,140.01875",2021-03-10
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-11
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-12
40.270832,140.01875,5.220505,"40.270832,140.01875",2021-03-13
40.270832,140.01875,8.274076,"40.270832,140.01875",2021-03-14
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-15
40.270832,140.01875,4.3938813,"40.270832,140.01875",2021-03-16
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-17
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-18
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-19
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-20
40.270832,140.01875,52.112537,"40.270832,140.01875",2021-03-21
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-22
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-23
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-24
40.270832,140.01875,8.593495,"40.270832,140.01875",2021-03-25
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-26
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-27
40.270832,140.01875,6.810213,"40.270832,140.01875",2021-03-28
40.270832,140.01875,0.5943089,"40.270832,140.01875",2021-03-29
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-30
40.270832,140.01875,0.0,"40.270832,140.01875",2021-03-31
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-01
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-03
40.270832,140.01875,27.181423,"40.270832,140.01875",2021-04-04
40.270832,140.01875,2.1314304,"40.270832,140.01875",2021-04-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-07
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-08
40.270832,140.01875,3.309265,"40.270832,140.01875",2021-04-09
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-10
